/Users/mradulsingh/hackathon/drift_sense/train.py:25: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:823.)
  total += float(loss) * ref.shape[0]
epoch 01 loss 6.2889 val {'mean_err': 413.6571350097656, 'pct5': 0.2199999988079071, 'pct10': 0.23999999463558197}
epoch 02 loss 5.5827 val {'mean_err': 339.2832946777344, 'pct5': 0.3199999928474426, 'pct10': 0.36000001430511475}
epoch 03 loss 5.1784 val {'mean_err': 265.2373352050781, 'pct5': 0.3400000035762787, 'pct10': 0.46000000834465027}
epoch 04 loss 4.8124 val {'mean_err': 161.8476104736328, 'pct5': 0.46000000834465027, 'pct10': 0.6200000047683716}
epoch 05 loss 4.5974 val {'mean_err': 157.9917449951172, 'pct5': 0.5, 'pct10': 0.6200000047683716}
epoch 06 loss 4.4639 val {'mean_err': 139.5625, 'pct5': 0.5199999809265137, 'pct10': 0.6200000047683716}
epoch 07 loss 4.3690 val {'mean_err': 141.98965454101562, 'pct5': 0.4399999976158142, 'pct10': 0.5799999833106995}
epoch 08 loss 4.3197 val {'mean_err': 151.40576171875, 'pct5': 0.4399999976158142, 'pct10': 0.6200000047683716}
epoch 09 loss 4.2370 val {'mean_err': 125.18586730957031, 'pct5': 0.6000000238418579, 'pct10': 0.699999988079071}
epoch 10 loss 4.1587 val {'mean_err': 154.74798583984375, 'pct5': 0.4399999976158142, 'pct10': 0.6200000047683716}
epoch 11 loss 4.1144 val {'mean_err': 109.31820678710938, 'pct5': 0.6000000238418579, 'pct10': 0.699999988079071}
epoch 12 loss 4.0673 val {'mean_err': 107.134765625, 'pct5': 0.4000000059604645, 'pct10': 0.699999988079071}
epoch 13 loss 4.0088 val {'mean_err': 100.1433334350586, 'pct5': 0.41999998688697815, 'pct10': 0.7400000095367432}
epoch 14 loss 4.0133 val {'mean_err': 69.00602722167969, 'pct5': 0.5600000023841858, 'pct10': 0.800000011920929}
epoch 15 loss 3.9731 val {'mean_err': 98.72468566894531, 'pct5': 0.3400000035762787, 'pct10': 0.6800000071525574}
epoch 16 loss 3.9374 val {'mean_err': 105.20881652832031, 'pct5': 0.3199999928474426, 'pct10': 0.699999988079071}
epoch 17 loss 3.9053 val {'mean_err': 60.681846618652344, 'pct5': 0.41999998688697815, 'pct10': 0.7799999713897705}
epoch 18 loss 3.8860 val {'mean_err': 110.28778076171875, 'pct5': 0.3199999928474426, 'pct10': 0.6600000262260437}
epoch 19 loss 3.8674 val {'mean_err': 72.98579406738281, 'pct5': 0.3799999952316284, 'pct10': 0.7799999713897705}
epoch 20 loss 3.8633 val {'mean_err': 86.31427764892578, 'pct5': 0.47999998927116394, 'pct10': 0.7799999713897705}
epoch 21 loss 3.8411 val {'mean_err': 80.79963684082031, 'pct5': 0.4399999976158142, 'pct10': 0.7200000286102295}
epoch 22 loss 3.8328 val {'mean_err': 62.54703140258789, 'pct5': 0.5199999809265137, 'pct10': 0.8600000143051147}
epoch 23 loss 3.8264 val {'mean_err': 55.60221862792969, 'pct5': 0.47999998927116394, 'pct10': 0.8199999928474426}
epoch 24 loss 3.8207 val {'mean_err': 74.80243682861328, 'pct5': 0.4399999976158142, 'pct10': 0.8199999928474426}
epoch 25 loss 3.8142 val {'mean_err': 52.609214782714844, 'pct5': 0.47999998927116394, 'pct10': 0.8600000143051147}
epoch 26 loss 3.7990 val {'mean_err': 71.5537338256836, 'pct5': 0.4399999976158142, 'pct10': 0.8199999928474426}
epoch 27 loss 3.7931 val {'mean_err': 61.96577072143555, 'pct5': 0.41999998688697815, 'pct10': 0.8199999928474426}
epoch 28 loss 3.7913 val {'mean_err': 76.9673080444336, 'pct5': 0.4000000059604645, 'pct10': 0.7400000095367432}
epoch 29 loss 3.7813 val {'mean_err': 103.21226501464844, 'pct5': 0.30000001192092896, 'pct10': 0.699999988079071}
epoch 30 loss 3.7780 val {'mean_err': 127.10050964355469, 'pct5': 0.2199999988079071, 'pct10': 0.6000000238418579}
epoch 31 loss 3.7765 val {'mean_err': 98.51498413085938, 'pct5': 0.25999999046325684, 'pct10': 0.699999988079071}
epoch 32 loss 3.7710 val {'mean_err': 103.4124984741211, 'pct5': 0.30000001192092896, 'pct10': 0.6600000262260437}
